item,code,max time,text,shuffle 1,comment,survey,
30,magic_recognition,user,,2,experiment,,
31,magic_recognition,user,,2,experiment,,
32,magic_recognition,user,,2,experiment,,
33,magic_recognition,user,,2,experiment,,
34,magic_recognition,user,,2,experiment,,
35,magic_recognition,user,,2,experiment,,
36,magic_recognition,user,,2,experiment,,
37,magic_recognition,user,,2,experiment,,
0,instruct,user,"<p> Thank you for completing the recognition task. </p><p> You are nearly at the end of the experiment. </p><p> On the next page, there will be a short questionnaire. Afterwards, you will be debriefed and directed to the completion code.</p>",off,,,
0,survey,user,,off,questionnaire,postquestions_magicmemory_fmri,
0,debrief_magmot,user,"<p> Dear participant, </p><p> Thank you for completing the task. </p><p> The purpose of this study was to find out how curiosity and the availability of reward can influence memory performances. We hypothesise that both, reward and high levels of curiosity will have enhancing effects and lead to the magic tricks being better encoded. We further investigate the neural underpinnings of this phenomena which we expect to be mirrored in the reward network, medial temporal lobe and mid brain.</p><p> We manipulated the availability of reward in the following ways: Some participants were not offered any reward for finding the correct estimate on how many people are able to find the solution, while other participants were offered an additional Â£0.80 for each correct estimate on how many people are able to find the solution to the magic trick.</p><p> We offered money to some of the participants to be able to look at the effect of the availability of monetary reward on memory. We asked you to rate your curiosity to determine how curiosity influences memory performances. We asked you to provide an estimate on how many people will be able to solve the magic trick to make sure that you are engaged in the task and pay attention to it. However, we never collected data on how many people are able to find the solution Ã¢ÂÂ therefore, there are no right or wrong answers to this question, and this was our cover story. We would like to apologise for any inconveniences caused by this. Out of curtesy, we pay the same bonus to all participants. </p><p> We would like to thank you again for participating in this experiment and supporting our research. If you have any additional questions, please do not hesitate to contact us. </p><p> Kind regards, </p><p> Stef Meliss (email: stefanie.meliss@pgr.reading.ac.uk) and Kou Murayama (email: k.murayama@reading.ac.uk) </p>",off,debrief,,
