stimID,Image,option1,option2,option3,option4,
K21_long,https://dl.dropbox.com/s/tc3rf4hn12n95wv/K21_long_cue.png?dl=0,The magician flips the middle card over with a slight gesture and then changes the colour of the back of the card from blue to red.,The magician reduces a full deck of cards to only three cards.,The magician places a card between two other cards and makes it disappear.,The magician transforms three cards into a full deck.,
K24,https://dl.dropbox.com/s/4ww147m1539vjar/K24_cue.png?dl=0,A Â£10 note is transformed into a Â£20  note.,The note is folded so small that it disappears.,The magician makes a note out of a flower.,The magician folds the Â£10 note in a piece of paper and tears it. He reveals that the note is still intact afterwards.,
S9,https://dl.dropbox.com/s/qblyq5gup6ju8eo/S9_cue.png?dl=0,The cards magically change their appearance.,"The magician covers the cards with a silk handkerchief. After the silk is removed, the cards are blank.",The magician shows a card and then pulls the correct card from a shuffled deck.,The cards spread across the table into a circle without being touched.,
S11,https://dl.dropbox.com/s/167fk5bvfstv1au/S11_cue.png?dl=0,The magician pushes a cigarette through a coin and then reveals that there is no hole.,"The coin and the cigarette melt into another, so that the cigarette becomes metal.","The magician pushes a cigarette through a coin, but after he has pushed it through, he reveals that the cigarette is a ÃÂ£10 note.","The magician uses the coin to slice the cigarette, but it is still intact afterwards.",
S12,https://dl.dropbox.com/s/yumq0um8tsx20nv/S12_cue.png?dl=0,The magician punches a hole in the card. He then moves the hole from one corner to another before finally revealing that it is actually a black spot on the card.,The magician punches a hole into the card. This hole expands as the magician opens his fist.,"The magician punches circular holes into the card, but after the card is turned, the punched holes have a square shape.","The magician punches a hole into the card, which then becomes a toy ladybird.",
S15,https://dl.dropbox.com/s/1j2b4d1j0qgaux6/S15_cue.png?dl=0,The magician places a ring on the stem of the glass without breaking it.,"The magician places the glass upside down on the ring and covers it with a piece of silk. When he removes it, the ring is placed on the stem.",The magician puts the ring into the glass and starts tossing it around until the ring is around the stem.,The magician removes the glass and puts a ring on the stem before reattaching it.,
S18,https://dl.dropbox.com/s/cqgrxqi2uif01v8/S18_cue.png?dl=0,The magician pulls three boxes containing flowers from a paper bag.,The magician is able to hide his whole arm inside the blue paper bag.,The magician produces a rabbit out of the empty paper bag.,When the magician turns the bag inside-out the bag folds into a paper aeroplane.,
S21,https://dl.dropbox.com/s/dbwgmecbgerp5y2/S21_cue.png?dl=0,The magician detaches the head of a spoon by moving the handle up and down.,The magician detaches the head of a spoon by turning the handle clockwise and counter clockwise.,The magician bents the spoon only sing his pinkie as a force.,"The magician covers the spoon with a handkerchief. When he removes it, the spoon is bent.",
S25,https://dl.dropbox.com/s/1lm8w3hvms9so7h/S25_cue.png?dl=0,The magician makes a silk handkerchief appear inside a bread roll.,The magician makes bread rolls appear in his hands.,"The magician holds a bread roll in his left hand, which then appears in his right hand.",The magician makes a signed coin appear inside a bread roll.,
S27,https://dl.dropbox.com/s/actodxq8yh5tjn8/S27_cue.png?dl=0,"The magician pours water into a cup from the bottle and then pours the water into another cup but when he tips it upside down, no water spills out.","The magician pours water into a cup from the bottle, but when he tips it upside down, no water spills out.","Although the magician pours water into both cups, the water bottle seems to refill itself magically whenever the magician snaps his fingers.","The magician pours water into one cup, but the other cup is magically refilled.",
S30,https://dl.dropbox.com/s/l43gwniz6esnjxq/S30_cue.png?dl=0,The magician pulls string through two sticks which appear to be connected. However he then reveals thw two sticks are not connected at all.,The magician is able to join the two separated parts of the stick.,"Without any movement, the magician lets the strings in the sticks dance in little circles around him.",The magician cuts a piece of string in several places and then magically puts it back together again.,
S31,https://dl.dropbox.com/s/04cmycbugl09brn/S31_cue.png?dl=0,"The magician places chopsticks into an envelope, but is still able to crush the envelope and its contents into a paper ball.",The magician transforms the envelope into a ÃÂ£10 note.,"As the magician turns around the envelope, writing appears on it.",The magician folds the envelope multiple times until he reveals that it is a pair of chop sticks.,
Trick4,https://dl.dropbox.com/s/yzn463lphxwqonx/Trick4_cue.png?dl=0,The magician puts the mobile phone inside the balloon with a simple gesture of his hands.,"As the magician blows up the balloon, the phone increases in size.","The magician blows up an orange balloon, then the phone flashes and the balloon turns yellow.","As the balloon deflates, the phones starts moving across the surface without the magician touching it.",
Trick6_short,https://dl.dropbox.com/s/a1ghswi9dh70gac/Trick6_short_cue.png?dl=0,"The magician puts a ball under the cup, which then turns into a larger ball and then becomes an egg.",The magician puts the ball under the cup which then turns into an egg and then becomes a chicklet.,The magician puts the ball under the cup and makes it disappear.,"The magician places a red ball underneath the cup, but when he lifts it up, it is an orange balloon.",
Trick7_short,https://dl.dropbox.com/s/qe2ja9v5tz9wa0i/Trick7_short_cue.png?dl=0,"The magician gets the volunteer to hold a foam ball, which he then transforms into  two balls.",The magician places two foam balls in volunteer's hands. The foam balls then start to jump up and down of their own accord.,"The magician places two foam balls in volunteer's hand and sets them alight, revealing two paper balls.",Two sponge balls turn into a cube.,
Trick20_short,https://dl.dropbox.com/s/4rjms5mif7ko2pd/Trick20_short_cue.png?dl=0,"The magician shows the volunteer metal nut and rope. Although he secures the nut with the rope, it repeatdely escapes.","The magician ties a knot around the volunteer's wrist using the rope. After snapping his finger, the nut is tied in the rope, too.","The volunteer holds the nut in her hands which are then tied with the rope. When the magician removes the rope, the nut is no longer in the volunteer's hand but appears in the magician's pocket.","The magician ties rope around the nut, but is not able to remove it afterwards as it seems that the nut has shrunk.",
Trick28,https://dl.dropbox.com/s/hst3000qsirt1rg/Trick28_cue.png?dl=0,The magician links and unlinks several silver rings while they keep their shape.,"Starting with small rings, the magician merges them so that there are less rings in total, but they are larger in size.","The magician firstly puts the rings around his arms, but after he turns around, the volunteer has them around their arms.",The magician links and unlinks several silver rings while the rings shape their appearance once they get linked.,
Trick32_long,https://dl.dropbox.com/s/c3jyh64p6m6lb2c/Trick32_long_cue.png?dl=0,The magician makes a silver coin disappear and reappear several times before it is transformed into a large coin.,The magician has a coin in each of his hands. They both end up in one hand.,"The magician shows a silver and a copper coin. Every time he puts a coin in his pocket, the coin appears again in his hand.",The magician ask the volunteer for a coin. Then the coin magically bends inside the closed fist of the volunteer.,
Trick37,https://dl.dropbox.com/s/gz9cx76iu0bncq2/Trick37_cue.png?dl=0,An elastic band visually travels from finger to finger.,"The magician has an elastic band on his hand, which then magically ends up around the volunteer's hand.",The magician makes several star shapes using the two elastic bands and then produces a star shaped elastic band.,The magician has two elastic bands and tangles them up. They then become untwisted.,
Trick38,https://dl.dropbox.com/s/kc1b222omttxir0/Trick38_cue.png?dl=0,"The magician closes one fist around a silk handkerchief and makes it disappear. Then, he makes it appear in his other hand.",The magician makes a little bird figure appear under the silk handkerchief.,The magician takes a coin from the volunteer and freezes it in the silk.,"The magician closes his hand around a green silk handerchief, but when he opens his hand, the silk is blue.",
H4_long,https://dl.dropbox.com/s/guw445zc2e246mh/H4_long_cue.png?dl=0,The magician makes the coins disappear from his hands and reappear under one of the cards.,"The magician changes the colour of the cards from red to black. ",The magician lets all the coins disappear.,The magician doubles the number of cards.,
K23,https://dl.dropbox.com/s/xu87y1ypojdcuii/K23_cue.png?dl=0,"The magician pierces the note with the pen, but the note is intact afterwards.","The magician draws glasses on the queen's face, but when he snaps his fingers, it disappears.",The magician turns the note from purple to dark green.,The magician makes the money disappear and then reappear in the volunteer's hand.,
,,,,,,
